Id,Rule Name,Product,Severity,Status,Dependency,Version,Reachability,Transitivity,Cve,Epss,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
765857031,Cross-site Scripting in postcss,Supply Chain,Medium,Open,postcss,8.4.49,No Reachability Analysis,Transitive,CVE-2026-41305,0.03% (Low),,AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend/blob/676a022ce92b3e6748112ffba0bc060da33bd9a1/package-lock.json#L16675,https://semgrep.dev/orgs/maadec/supply-chain/findings/765857031,2026-04-27 12:19:17.051810,2026-04-27 12:19:17.038883,refs/heads/main,,,,Affected versions of postcss are vulnerable to Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting').
762505699,Improper Check for Unusual or Exceptional Conditions in axios,Supply Chain,High,Open,axios,0.27.2,Reachable,Transitive,CVE-2026-25639,0.05% (Low),Payments,AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend/blob/676a022ce92b3e6748112ffba0bc060da33bd9a1/src/billing/billing.service.ts#L142,https://semgrep.dev/orgs/maadec/supply-chain/findings/762505699,2026-04-23 20:39:28.946209,2026-04-23 20:39:28.900518,refs/heads/main,,,,"Affected versions of axios are vulnerable to Improper Check for Unusual or Exceptional Conditions. It fails to correctly validate configuration keys during merging. This allows a crafted __proto__ property to trigger an internal TypeError, causing the application to crash."
762505698,Improper Check for Unusual or Exceptional Conditions in axios,Supply Chain,High,Open,axios,0.27.2,Reachable,Transitive,CVE-2026-25639,0.05% (Low),Payments,AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend/blob/676a022ce92b3e6748112ffba0bc060da33bd9a1/src/billing/billing.service.ts#L221,https://semgrep.dev/orgs/maadec/supply-chain/findings/762505698,2026-04-23 20:39:28.946192,2026-04-23 20:39:28.900499,refs/heads/main,,,,"Affected versions of axios are vulnerable to Improper Check for Unusual or Exceptional Conditions. It fails to correctly validate configuration keys during merging. This allows a crafted __proto__ property to trigger an internal TypeError, causing the application to crash."
762505670,Improper Encoding or Escaping of Output in handlebars,Supply Chain,High,Open,handlebars,4.7.8,Conditionally Reachable,Transitive,CVE-2026-33941,0.01% (Low),,AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend/blob/676a022ce92b3e6748112ffba0bc060da33bd9a1/package-lock.json#L13278,https://semgrep.dev/orgs/maadec/supply-chain/findings/762505670,2026-04-23 20:39:28.945696,2026-04-23 20:39:28.899967,refs/heads/main,,,,"Affected versions of handlebars are vulnerable to Improper Control of Generation of Code ('Code Injection') / Improper Encoding or Escaping of Output / Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'). The Handlebars CLI precompiler allows arbitrary JavaScript injection by embedding unescaped template filenames and CLI option values such as `--namespace`, `--commonjs`, and `--handlebarPath` directly into generated output. An attacker who can control these inputs can cause malicious code to execute when the precompiled bundle is loaded in Node.js or a browser."
762505668,Confused Deputy in axios,Supply Chain,Medium,Open,axios,0.27.2,Conditionally Reachable,Transitive,CVE-2025-62718,0.03% (Low),,AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend/blob/676a022ce92b3e6748112ffba0bc060da33bd9a1/package-lock.json#L10118,https://semgrep.dev/orgs/maadec/supply-chain/findings/762505668,2026-04-23 20:39:28.945657,2026-04-23 20:39:28.899923,refs/heads/main,,,,"Affected versions of axios are vulnerable to Server-Side Request Forgery (SSRF) / Unintended Proxy or Intermediary ('Confused Deputy'). Axios does not normalize hostnames before applying `NO_PROXY`, so requests to loopback or internal hosts such as `localhost.` or `[::1]` can be sent through a configured proxy instead of bypassing it. If an attacker can influence request URLs, they may force local/internal Axios traffic through an attacker-controlled proxy, undermining SSRF protections and exposing sensitive responses."
762505667,HTTP Request/Response Splitting in axios,Supply Chain,Medium,Open,axios,0.27.2,Always Reachable,Transitive,CVE-2026-40175,0.03% (Low),,AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend/blob/676a022ce92b3e6748112ffba0bc060da33bd9a1/package-lock.json#L10118,https://semgrep.dev/orgs/maadec/supply-chain/findings/762505667,2026-04-23 20:39:28.945627,2026-04-23 20:39:28.899900,refs/heads/main,,,,"Affected versions of axios are vulnerable to Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting') / Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling') / Server-Side Request Forgery (SSRF). Axios can be used as a gadget for header injection: if another dependency enables prototype pollution, polluted properties can be merged into Axios request headers and written without CRLF sanitization, allowing request smuggling/SSRF that can reach internal services such as AWS IMDSv2 and potentially lead to credential theft or broader compromise."
762505666,Prototype Pollution in lodash,Supply Chain,Medium,Open,lodash,4.17.21,No Reachability Analysis,Transitive,CVE-2025-13465,0.03% (Low),,AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend/blob/676a022ce92b3e6748112ffba0bc060da33bd9a1/package-lock.json#L3200,https://semgrep.dev/orgs/maadec/supply-chain/findings/762505666,2026-04-23 20:39:28.945598,2026-04-23 20:39:28.899873,refs/heads/main,,,,"Affected versions of lodash, lodash-amd, lodash-es, and lodash.unset are vulnerable to Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution')."
762505665,Use of Cache Containing Sensitive Information in hono,Supply Chain,Medium,Open,hono,4.11.4,No Reachability Analysis,Transitive,CVE-2026-24472,0.01% (Low),,AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend/blob/676a022ce92b3e6748112ffba0bc060da33bd9a1/package-lock.json#L13394,https://semgrep.dev/orgs/maadec/supply-chain/findings/762505665,2026-04-23 20:39:28.945581,2026-04-23 20:39:28.899853,refs/heads/main,,,,Affected versions of hono are vulnerable to Insufficient Session Expiration / Use of Cache Containing Sensitive Information.
762505664,Incorrect Regular Expression in hono,Supply Chain,Medium,Open,hono,4.11.4,No Reachability Analysis,Transitive,CVE-2026-24398,0.01% (Low),,AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend/blob/676a022ce92b3e6748112ffba0bc060da33bd9a1/package-lock.json#L13394,https://semgrep.dev/orgs/maadec/supply-chain/findings/762505664,2026-04-23 20:39:28.945564,2026-04-23 20:39:28.899831,refs/heads/main,,,,Affected versions of hono are vulnerable to Incorrect Regular Expression.
762505663,Exposure of Sensitive Information to an Unauthorized Actor in hono,Supply Chain,Medium,Open,hono,4.11.4,No Reachability Analysis,Transitive,CVE-2026-24473,0.01% (Low),,AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend,https://github.com/AbdoulDiouf2/Insightsage_backend/blob/676a022ce92b3e6748112ffba0bc060da33bd9a1/package-lock.json#L13394,https://semgrep.dev/orgs/maadec/supply-chain/findings/762505663,2026-04-23 20:39:28.945547,2026-04-23 20:39:28.899811,refs/heads/main,,,,Affected versions of hono are vulnerable to Exposure of Resource to Wrong Sphere / Exposure of Sensitive Information to an Unauthorized Actor / Improper Access Control.
